Variable name,Variable description,Measurement units,Variable type,Levels,Missing values
species,Caterpillar species,,categorical,danaus_plexippus,
caterpillar_id,Identification code for individual caterpillar,,categorical,,
food_treatment,Initial feeding treatment,,categorical,"control, pesticide",
disc_weight,Weight of initial feeding disc,g,numerical,,
setup_date,Date of initial setup,date (yyyy-mm-dd),numerical,,
date_hatched,Date of caterpillar hatching,date (yyyy-mm-dd),numerical,,
date_assay,Date of food choice assay ,date (yyyy-mm-dd),numerical,,
time_assay_start,Time of assay start,time of day,numerical,,
time_assay_end,Time of assay end,time of day,numerical,,
start_control_weight,Initial weight of control disc in assay,g,numerical,,
start_pesticide_weight,Initial weight of pesticide disc in assay,g,numerical,,
end_control_weight,Weight of control disc after assay end,g,numerical,,
end_pesticide_weight,Weight of pesticide disc after assay end,g,numerical,,
left_right,Placement of pesticide disc with regard to person transferring caterpillar,,categorical,"facing away, P to right; facing away, P to left",
cat_p_lr,Placement of pesticide disc with regard to caterpillar,,categorical,"left, right",
control_area_remaining,Remaining area of control disc after assay end,cm^2,numerical,,
pesticide_area_remaining,Remaining area of pesticide disc after assay end,cm^2,numerical,,
notes,Notes,,,,No value if no other notes
